"HM_GL_IN_OR_RISK_CAT_COUNT_ID","HM_GL_IN_OVERSIGHT_REPORTS_ID","RISK_CATEGORY","RISK_CATEGORY_COUNT"
22817453,2701541,"INFORMED CONSENT",0
22817651,2701539,"SDV/CRF VERIFICATION",5
22817650,2701540,"SDV/CRF VERIFICATION",1
22817847,2701539,"SAE REPORTING",0
22817846,2701540,"SAE REPORTING",0
22817845,2701541,"SAE REPORTING",0
22818163,2701555,"INVESTIGATIONAL PROD",0
22818359,2701555,"OTHER",0
22817183,2701555,"MONITORING",0
22817379,2701555,"SMF/TMF",0
22817575,2701555,"INFORMED CONSENT",0
22817771,2701555,"SDV/CRF VERIFICATION",3
22817967,2701555,"SAE REPORTING",0
22818162,2701556,"INVESTIGATIONAL PROD",0
22818358,2701556,"OTHER",0
22817182,2701556,"MONITORING",0
22817378,2701556,"SMF/TMF",0
22817574,2701556,"INFORMED CONSENT",0
22817770,2701556,"SDV/CRF VERIFICATION",5
22817966,2701556,"SAE REPORTING",0
22931466,2707843,"Informed Consent Doc",1
22818555,2701555,"TOTAL ISSUES",3
22818554,2701556,"TOTAL ISSUES",5
22931463,2707843,"Alliance Partner/Ven",2
22931464,2707843,"Data",2
22931465,2707843,"Essential Documents",3
22931467,2707843,"Other",1
22931468,2707843,"Safety",2
22931469,2707843,"Site Qualifications",2
22932301,2711553,"Investigational Prod",3
22932298,2711553,"Data",2
22932299,2711553,"Essential Documents",3
22932300,2711553,"Informed Consent Doc",1
22932302,2711553,"Other",2
22932303,2711553,"Site Qualifications",2
22818169,2701669,"INVESTIGATIONAL PROD",0
22818365,2701669,"OTHER",0
22818561,2701669,"TOTAL ISSUES",0
22817189,2701669,"MONITORING",0
22817385,2701669,"SMF/TMF",0
22817581,2701669,"INFORMED CONSENT",0
22817777,2701669,"SDV/CRF VERIFICATION",0
22817973,2701669,"SAE REPORTING",0
22818168,2701670,"INVESTIGATIONAL PROD",0
22818364,2701670,"OTHER",0
22818560,2701670,"TOTAL ISSUES",4
22817188,2701670,"MONITORING",1
22817384,2701670,"SMF/TMF",0
22817580,2701670,"INFORMED CONSENT",0
22817776,2701670,"SDV/CRF VERIFICATION",2
22817972,2701670,"SAE REPORTING",1
22815569,2700561,"MONITORING",0
22815765,2700561,"SMF/TMF",0
22815961,2700561,"INFORMED CONSENT",0
22816157,2700561,"SDV/CRF VERIFICATION",1
22816353,2700561,"SAE REPORTING",0
22816549,2700561,"INVESTIGATIONAL PROD",0
22816745,2700561,"OTHER",0
22816941,2700561,"TOTAL ISSUES",1
22923468,2707454,"Site Qualifications",2
22923465,2707454,"Data",2
22923466,2707454,"Essential Documents",3
22923467,2707454,"Safety",3
22815572,2700939,"MONITORING",0
22815768,2700939,"SMF/TMF",0
22815964,2700939,"INFORMED CONSENT",1
22816160,2700939,"SDV/CRF VERIFICATION",1
22816356,2700939,"SAE REPORTING",0
22816552,2700939,"INVESTIGATIONAL PROD",0
22816748,2700939,"OTHER",0
22816944,2700939,"TOTAL ISSUES",2
22818178,2703172,"INVESTIGATIONAL PROD",8
22818374,2703172,"OTHER",3
22818570,2703172,"TOTAL ISSUES",26
22817198,2703172,"MONITORING",6
22817394,2703172,"SMF/TMF",7
22817590,2703172,"INFORMED CONSENT",0
22817786,2703172,"SDV/CRF VERIFICATION",2
22817982,2703172,"SAE REPORTING",0
22818177,2703173,"INVESTIGATIONAL PROD",0
22818373,2703173,"OTHER",5
22818569,2703173,"TOTAL ISSUES",20
22817197,2703173,"MONITORING",3
22817393,2703173,"SMF/TMF",9
22817589,2703173,"INFORMED CONSENT",1
22817785,2703173,"SDV/CRF VERIFICATION",2
22817981,2703173,"SAE REPORTING",0
22818179,2703174,"INVESTIGATIONAL PROD",3
22818375,2703174,"OTHER",7
22818571,2703174,"TOTAL ISSUES",30
22817199,2703174,"MONITORING",14
22817395,2703174,"SMF/TMF",4
22817591,2703174,"INFORMED CONSENT",0
22817787,2703174,"SDV/CRF VERIFICATION",2
22817983,2703174,"SAE REPORTING",0
22818180,2703228,"INVESTIGATIONAL PROD",1
22818376,2703228,"OTHER",3
22818572,2703228,"TOTAL ISSUES",15
22817200,2703228,"MONITORING",3
22817396,2703228,"SMF/TMF",2
22817592,2703228,"INFORMED CONSENT",1
22817788,2703228,"SDV/CRF VERIFICATION",5
22817984,2703228,"SAE REPORTING",0
22912768,2708349,"Alliance Partner/Ven",1
22912769,2708349,"Data",3
22912770,2708349,"Essential Documents",2
22912771,2708349,"Informed Consent Doc",2
22912772,2708349,"Other",1
22904874,2703461,"MONITORING",0
22905070,2703461,"SMF/TMF",0
22905266,2703461,"INFORMED CONSENT",0
22905462,2703461,"SDV/CRF VERIFICATION",0
22905658,2703461,"SAE REPORTING",0
22905854,2703461,"INVESTIGATIONAL PROD",1
22906050,2703461,"OTHER",0
22906246,2703461,"TOTAL ISSUES",1
22821863,2703558,"MONITORING",3
22821841,2703699,"MONITORING",3
22822037,2703699,"SMF/TMF",6
22821853,2703462,"MONITORING",4
22822049,2703462,"SMF/TMF",6
22822233,2703699,"INFORMED CONSENT",1
22822245,2703462,"INFORMED CONSENT",0
22822429,2703699,"SDV/CRF VERIFICATION",5
22822441,2703462,"SDV/CRF VERIFICATION",3
22822625,2703699,"SAE REPORTING",0
22822637,2703462,"SAE REPORTING",2
22823213,2703699,"TOTAL ISSUES",26
22823225,2703462,"TOTAL ISSUES",19
22822821,2703699,"INVESTIGATIONAL PROD",2
22822833,2703462,"INVESTIGATIONAL PROD",3
22823017,2703699,"OTHER",9
22823029,2703462,"OTHER",1
22950704,2708229,"Alliance Partner/Ven",1
22950705,2708229,"Data",3
22950706,2708229,"Essential Documents",2
22950707,2708229,"Safety",3
22950708,2708229,"Site Qualifications",2
22822059,2703558,"SMF/TMF",3
22822255,2703558,"INFORMED CONSENT",1
22822451,2703558,"SDV/CRF VERIFICATION",4
22822647,2703558,"SAE REPORTING",2
22823235,2703558,"TOTAL ISSUES",15
22822843,2703558,"INVESTIGATIONAL PROD",1
22823039,2703558,"OTHER",1
22818192,2703568,"INVESTIGATIONAL PROD",0
22818388,2703568,"OTHER",0
22818584,2703568,"TOTAL ISSUES",15
22817212,2703568,"MONITORING",5
22817408,2703568,"SMF/TMF",1
22817604,2703568,"INFORMED CONSENT",1
22817800,2703568,"SDV/CRF VERIFICATION",8
22817996,2703568,"SAE REPORTING",0
22818184,2703385,"INVESTIGATIONAL PROD",0
22818380,2703385,"OTHER",1
22818576,2703385,"TOTAL ISSUES",17
22817204,2703385,"MONITORING",6
22817400,2703385,"SMF/TMF",4
22817596,2703385,"INFORMED CONSENT",0
22817792,2703385,"SDV/CRF VERIFICATION",3
22817988,2703385,"SAE REPORTING",3
22821840,2703599,"MONITORING",0
22822036,2703599,"SMF/TMF",1
22822232,2703599,"INFORMED CONSENT",0
22822428,2703599,"SDV/CRF VERIFICATION",0
22822624,2703599,"SAE REPORTING",0
22823212,2703599,"TOTAL ISSUES",2
22822820,2703599,"INVESTIGATIONAL PROD",1
22823016,2703599,"OTHER",0
22818195,2703600,"INVESTIGATIONAL PROD",0
22818391,2703600,"OTHER",1
22818587,2703600,"TOTAL ISSUES",13
22817215,2703600,"MONITORING",4
22817411,2703600,"SMF/TMF",2
22817607,2703600,"INFORMED CONSENT",3
22817803,2703600,"SDV/CRF VERIFICATION",2
22817999,2703600,"SAE REPORTING",1
22951289,2714356,"Site Qualifications",3
22951286,2714356,"Alliance Partner/Ven",1
22951287,2714356,"Other",1
22951288,2714356,"Safety",3
22953961,2713977,"Safety",1
22953958,2713977,"Alliance Partner/Ven",1
22953959,2713977,"Data",3
22953960,2713977,"Essential Documents",2
22953962,2713977,"Site Qualifications",3
22926391,2714896,"Essential Documents",3
22940589,2713978,"Data",1
22940590,2713978,"Essential Documents",1
22940591,2713978,"Informed Consent Doc",1
22926389,2714896,"Alliance Partner/Ven",1
22926390,2714896,"Data",1
22926392,2714896,"Investigational Prod",1
22926393,2714896,"Safety",1
22926394,2714896,"Site Qualifications",4
22945159,2714643,"Other",1
22934020,2714642,"Data",1
22934021,2714642,"Other",1
22934022,2714642,"Site Qualifications",1
22945157,2714643,"Data",1
22945158,2714643,"Investigational Prod",1
22945160,2714643,"Site Qualifications",1
22920554,2714645,"Investigational Prod",1
22920551,2714645,"Alliance Partner/Ven",4
22920552,2714645,"Essential Documents",1
22920553,2714645,"Informed Consent Doc",1
22920555,2714645,"Safety",3
22920556,2714645,"Site Qualifications",1
22957095,2711544,"Other",1
22959966,2713886,"Other",1
22957091,2711544,"Data",1
22957092,2711544,"Essential Documents",2
22957093,2711544,"Informed Consent Doc",1
22957094,2711544,"Investigational Prod",2
22957096,2711544,"Safety",3
22964999,2711546,"Investigational Prod",2
22915297,2711545,"Data",1
22915298,2711545,"Inclusion/Exclusion ",1
22964996,2711546,"Data",4
22964997,2711546,"Essential Documents",2
22964998,2711546,"Informed Consent Doc",2
22965000,2711546,"Other",2
22965001,2711546,"Site Qualifications",1
22952409,2711547,"Safety",1
22952406,2711547,"Data",7
22952407,2711547,"Essential Documents",2
22952408,2711547,"Informed Consent Doc",1
22952410,2711547,"Site Qualifications",3
22923961,2711548,"Site Qualifications",2
22923958,2711548,"Data",1
22923959,2711548,"Essential Documents",2
22923960,2711548,"Safety",1
22930994,2711549,"Safety",1
22930991,2711549,"Essential Documents",3
22930992,2711549,"Inclusion/Exclusion ",1
22930993,2711549,"Informed Consent Doc",1
22930995,2711549,"Site Qualifications",1
22908898,2711552,"Essential Documents",1
22953442,2711550,"Data",1
22953443,2711550,"Essential Documents",2
22911500,2711551,"Data",3
22911501,2711551,"Essential Documents",2
22911502,2711551,"Informed Consent Doc",1
22908896,2711552,"Alliance Partner/Ven",2
22908897,2711552,"Data",5
22908899,2711552,"Informed Consent Doc",5
22908900,2711552,"Investigational Prod",3
22908901,2711552,"Site Qualifications",1
22924114,2711554,"Safety",1
22924111,2711554,"Data",2
22924112,2711554,"Essential Documents",2
22924113,2711554,"Informed Consent Doc",1
22954445,2711556,"Site Qualifications",3
22920761,2711555,"Data",1
22920762,2711555,"Essential Documents",3
22920763,2711555,"Site Qualifications",2
22954441,2711556,"Data",2
22954442,2711556,"Essential Documents",1
22954443,2711556,"Investigational Prod",2
22954444,2711556,"Other",1
22914169,2711559,"Safety",2
22948589,2711558,"Investigational Prod",1
22948590,2711558,"Other",1
22948591,2711558,"Site Qualifications",4
22914167,2711559,"Data",3
22914168,2711559,"Essential Documents",3
22914170,2711559,"Site Qualifications",1
22913076,2711561,"Informed Consent Doc",2
22942476,2711560,"Data",3
22942477,2711560,"Essential Documents",1
22942478,2711560,"Site Qualifications",1
22913074,2711561,"Essential Documents",2
22913075,2711561,"Inclusion/Exclusion ",1
22913077,2711561,"Other",1
22913078,2711561,"Site Qualifications",3
22918341,2711564,"Other",2
22918338,2711564,"Data",5
22918339,2711564,"Essential Documents",1
22918340,2711564,"Investigational Prod",1
22918342,2711564,"Site Qualifications",1
22923436,2711562,"Alliance Partner/Ven",1
22923437,2711562,"Essential Documents",1
22923438,2711562,"Investigational Prod",1
22923439,2711562,"Other",1
22923440,2711562,"Safety",1
22923441,2711562,"Site Qualifications",2
22923905,2711563,"Informed Consent Doc",1
22923906,2711563,"Site Qualifications",2
22926107,2711565,"Inclusion/Exclusion ",2
22926104,2711565,"Alliance Partner/Ven",4
22926105,2711565,"Data",6
22926106,2711565,"Essential Documents",4
22926108,2711565,"Informed Consent Doc",1
22926109,2711565,"Investigational Prod",6
22926110,2711565,"Other",4
22926111,2711565,"Safety",3
22926112,2711565,"Site Qualifications",9
22929682,2711566,"Inclusion/Exclusion ",1
22929679,2711566,"Alliance Partner/Ven",5
22929680,2711566,"Data",5
22929681,2711566,"Essential Documents",1
22929683,2711566,"Investigational Prod",5
22929684,2711566,"Other",2
22929685,2711566,"Safety",2
22929686,2711566,"Site Qualifications",1
22931615,2711567,"Alliance Partner/Ven",2
22931616,2711567,"Data",6
22931617,2711567,"Essential Documents",4
22931618,2711567,"Inclusion/Exclusion ",1
22931619,2711567,"Informed Consent Doc",2
22931620,2711567,"Investigational Prod",3
22931621,2711567,"Other",3
22931622,2711567,"Site Qualifications",2
22945379,2711568,"Safety",1
22945376,2711568,"Data",1
22945377,2711568,"Inclusion/Exclusion ",1
22945378,2711568,"Investigational Prod",1
22918054,2711570,"Safety",3
22948056,2711569,"Data",2
22948057,2711569,"Investigational Prod",1
22918051,2711570,"Data",4
22918052,2711570,"Essential Documents",1
22918053,2711570,"Investigational Prod",1
22918055,2711570,"Site Qualifications",3
22926595,2711573,"Safety",1
22933021,2711571,"Alliance Partner/Ven",2
22933022,2711571,"Essential Documents",4
22922178,2711572,"Essential Documents",2
22926591,2711573,"Data",1
22926592,2711573,"Essential Documents",4
22926593,2711573,"Investigational Prod",4
22926594,2711573,"Other",1
22926596,2711573,"Site Qualifications",2
22919809,2711574,"Investigational Prod",3
22919806,2711574,"Alliance Partner/Ven",1
22919807,2711574,"Essential Documents",6
22919808,2711574,"Inclusion/Exclusion ",1
22912083,2711575,"Essential Documents",2
22931797,2711576,"Safety",2
22931794,2711576,"Data",2
22931795,2711576,"Essential Documents",1
22931796,2711576,"Investigational Prod",1
22931798,2711576,"Site Qualifications",5
22914974,2711577,"Investigational Prod",1
22914971,2711577,"Alliance Partner/Ven",1
22914972,2711577,"Data",3
22914973,2711577,"Essential Documents",1
22914975,2711577,"Site Qualifications",2
22932589,2711578,"Investigational Prod",2
22932586,2711578,"Alliance Partner/Ven",1
22932587,2711578,"Data",1
22932588,2711578,"Essential Documents",2
22924161,2711580,"Data",5
22924162,2711580,"Essential Documents",2
22924163,2711580,"Inclusion/Exclusion ",1
22924164,2711580,"Informed Consent Doc",3
22924165,2711580,"Investigational Prod",2
22924166,2711580,"Safety",4
22924167,2711580,"Site Qualifications",7
22921043,2711581,"Essential Documents",4
22913313,2711579,"Data",2
22913314,2711579,"Essential Documents",1
22913315,2711579,"Site Qualifications",1
22921041,2711581,"Alliance Partner/Ven",4
22921042,2711581,"Data",7
22921044,2711581,"Investigational Prod",5
22921045,2711581,"Other",1
22921046,2711581,"Safety",2
22921047,2711581,"Site Qualifications",2
22911021,2711582,"Investigational Prod",4
22911018,2711582,"Data",3
22911019,2711582,"Essential Documents",3
22911020,2711582,"Informed Consent Doc",1
22911022,2711582,"Site Qualifications",2
22913181,2711583,"Alliance Partner/Ven",1
22913182,2711583,"Data",1
22913183,2711583,"Essential Documents",1
22913184,2711583,"Informed Consent Doc",1
22913185,2711583,"Investigational Prod",1
22913186,2711583,"Site Qualifications",2
22949497,2711585,"Safety",1
22908047,2711584,"Essential Documents",1
22908048,2711584,"Site Qualifications",2
22908049,2711584,"Subject Visits Revie",4
22949495,2711585,"Data",1
22949496,2711585,"Essential Documents",2
22910196,2711587,"Investigational Prod",2
22922899,2711586,"Data",1
22922900,2711586,"Essential Documents",1
22922901,2711586,"Other",1
22910194,2711587,"Data",1
22910195,2711587,"Inclusion/Exclusion ",2
22922627,2711588,"Site Qualifications",2
22922624,2711588,"Data",4
22922625,2711588,"Informed Consent Doc",1
22922626,2711588,"Safety",1
22923938,2711589,"Data",2
22923939,2711589,"Investigational Prod",1
22923940,2711589,"Site Qualifications",2
22933639,2711590,"Investigational Prod",4
22933636,2711590,"Data",3
22933637,2711590,"Essential Documents",2
22933638,2711590,"Informed Consent Doc",2
22933640,2711590,"Safety",3
22930452,2711591,"Investigational Prod",6
22930449,2711591,"Alliance Partner/Ven",1
22930450,2711591,"Data",1
22930451,2711591,"Essential Documents",2
22930453,2711591,"Other",1
22930454,2711591,"Safety",2
22930455,2711591,"Site Qualifications",3
22909269,2711592,"Investigational Prod",1
22909266,2711592,"Alliance Partner/Ven",3
22909267,2711592,"Essential Documents",2
22909268,2711592,"Informed Consent Doc",1
22909270,2711592,"Site Qualifications",4
22965497,2711594,"Other",2
22948988,2711593,"Data",1
22965493,2711594,"Data",4
22965494,2711594,"Essential Documents",2
22965495,2711594,"Informed Consent Doc",1
22965496,2711594,"Investigational Prod",3
22959123,2711595,"Site Qualifications",4
22959120,2711595,"Data",10
22959121,2711595,"Informed Consent Doc",2
22959122,2711595,"Investigational Prod",4
22924666,2711597,"Data",3
22924667,2711597,"Essential Documents",2
22924668,2711597,"Site Qualifications",4
22954813,2711600,"Essential Documents",2
22969969,2711602,"Data",1
22969970,2711602,"Essential Documents",2
22913790,2711693,"Safety",1
22913787,2711693,"Data",2
22913788,2711693,"Essential Documents",13
22913789,2711693,"Investigational Prod",1
22910905,2711687,"Alliance Partner/Ven",2
22910906,2711687,"Data",2
22910907,2711687,"Essential Documents",2
22910908,2711687,"Investigational Prod",2
22910909,2711687,"Safety",1
22910910,2711687,"Site Qualifications",4
22917737,2711691,"Site Qualifications",1
22917734,2711691,"Essential Documents",5
22917735,2711691,"Investigational Prod",3
22917736,2711691,"Other",1
22954440,2711692,"Data",5
22953592,2711694,"Investigational Prod",1
22953589,2711694,"Data",1
22953590,2711694,"Essential Documents",1
22953591,2711694,"Informed Consent Doc",2
22953593,2711694,"Other",1
22953594,2711694,"Safety",2
22953595,2711694,"Site Qualifications",2
22955130,2711695,"Safety",1
22955127,2711695,"Data",1
22955128,2711695,"Essential Documents",2
22955129,2711695,"Investigational Prod",1
22910811,2711698,"Informed Consent Doc",5
22950435,2711696,"Data",2
22938235,2711697,"Essential Documents",2
22938236,2711697,"Informed Consent Doc",1
22938237,2711697,"Investigational Prod",2
22938238,2711697,"Safety",2
22910809,2711698,"Data",9
22910810,2711698,"Essential Documents",7
22910812,2711698,"Other",1
22910813,2711698,"Safety",2
22910814,2711698,"Site Qualifications",1
22950720,2711700,"Alliance Partner/Ven",1
22950721,2711700,"Data",3
22950722,2711700,"Essential Documents",2
22950723,2711700,"Informed Consent Doc",2
22950724,2711700,"Investigational Prod",10
22950725,2711700,"Site Qualifications",4
22955094,2711702,"Investigational Prod",3
22922451,2711699,"Site Qualifications",1
22948356,2711701,"Essential Documents",3
22948357,2711701,"Inclusion/Exclusion ",1
22948358,2711701,"Safety",1
22948359,2711701,"Site Qualifications",1
22955092,2711702,"Data",1
22955093,2711702,"Essential Documents",2
22955095,2711702,"Other",1
22955096,2711702,"Safety",1
22955097,2711702,"Site Qualifications",3
22938187,2711705,"Data",4
22938188,2711705,"Essential Documents",3
22938189,2711705,"Informed Consent Doc",2
22938190,2711705,"Investigational Prod",3
22938191,2711705,"Other",1
22938192,2711705,"Site Qualifications",2
22916510,2711706,"Investigational Prod",3
22935057,2711704,"Essential Documents",3
22935058,2711704,"Informed Consent Doc",4
22916507,2711706,"Data",1
22916508,2711706,"Essential Documents",1
22916509,2711706,"Informed Consent Doc",1
22916511,2711706,"Other",1
22916512,2711706,"Safety",1
22916513,2711706,"Site Qualifications",2
22924837,2711707,"Informed Consent Doc",1
22924834,2711707,"Alliance Partner/Ven",1
22924835,2711707,"Data",1
22924836,2711707,"Essential Documents",1
22924838,2711707,"Safety",1
22924839,2711707,"Site Qualifications",3
22956782,2711713,"Investigational Prod",3
22956779,2711713,"Data",2
22956780,2711713,"Essential Documents",2
22956781,2711713,"Informed Consent Doc",2
22956783,2711713,"Site Qualifications",3
22917970,2711715,"Investigational Prod",4
22916531,2711714,"Data",8
22916532,2711714,"Inclusion/Exclusion ",1
22917967,2711715,"Data",6
22917968,2711715,"Inclusion/Exclusion ",1
22917969,2711715,"Informed Consent Doc",1
22917971,2711715,"Other",1
22917972,2711715,"Safety",3
22917973,2711715,"Site Qualifications",2
22954538,2711716,"Alliance Partner/Ven",8
22954539,2711716,"Data",10
22954540,2711716,"Essential Documents",4
22954541,2711716,"Informed Consent Doc",8
22954542,2711716,"Investigational Prod",1
22954543,2711716,"Other",1
22954544,2711716,"Safety",1
22954545,2711716,"Site Qualifications",2
22960269,2711717,"Other",1
22960266,2711717,"Data",4
22960267,2711717,"Essential Documents",3
22960268,2711717,"Investigational Prod",3
22960270,2711717,"Safety",2
22960271,2711717,"Site Qualifications",2
22920450,2711719,"Data",1
22920451,2711719,"Informed Consent Doc",1
22920452,2711719,"Investigational Prod",2
22920453,2711719,"Site Qualifications",1
22926333,2711720,"Data",2
22926334,2711720,"Essential Documents",2
22926335,2711720,"Site Qualifications",1
22927344,2711721,"Site Qualifications",1
22927341,2711721,"Essential Documents",1
22927342,2711721,"Investigational Prod",4
22927343,2711721,"Safety",1
22951828,2711733,"Investigational Prod",1
22951825,2711733,"Data",3
22951826,2711733,"Essential Documents",2
22951827,2711733,"Informed Consent Doc",1
22951829,2711733,"Other",3
22951830,2711733,"Safety",1
22910729,2711730,"Data",1
22910730,2711730,"Essential Documents",3
22910731,2711730,"Investigational Prod",1
22910732,2711730,"Safety",1
22953395,2711731,"Essential Documents",1
22953396,2711731,"Site Qualifications",1
22926450,2711732,"Data",2
22926451,2711732,"Essential Documents",1
22926452,2711732,"Informed Consent Doc",2
22926453,2711732,"Safety",2
22926454,2711732,"Site Qualifications",1
22934433,2711734,"Investigational Prod",2
22934430,2711734,"Data",9
22934431,2711734,"Essential Documents",3
22934432,2711734,"Informed Consent Doc",2
22934434,2711734,"Site Qualifications",1
22932621,2711736,"Alliance Partner/Ven",4
22932622,2711736,"Data",5
22932623,2711736,"Essential Documents",2
22932624,2711736,"Investigational Prod",4
22932625,2711736,"Other",1
22950667,2711737,"Alliance Partner/Ven",1
22950668,2711737,"Data",3
22950669,2711737,"Essential Documents",1
22950670,2711737,"Inclusion/Exclusion ",1
22950671,2711737,"Informed Consent Doc",1
22950672,2711737,"Other",2
22913022,2711738,"Subject Visits Revie",1
22913019,2711738,"Data",1
22913020,2711738,"Essential Documents",3
22913021,2711738,"Investigational Prod",1
22967367,2711739,"Investigational Prod",1
22967364,2711739,"Data",6
22967365,2711739,"Essential Documents",1
22967366,2711739,"Informed Consent Doc",1
22967368,2711739,"Other",1
22967369,2711739,"Safety",1
22967370,2711739,"Site Qualifications",3
22910719,2711741,"Alliance Partner/Ven",2
22910720,2711741,"Data",4
22910721,2711741,"Essential Documents",4
22910722,2711741,"Investigational Prod",3
22910723,2711741,"Other",1
22910724,2711741,"Site Qualifications",1
22935685,2711748,"Investigational Prod",3
22950378,2711740,"Data",2
22950379,2711740,"Essential Documents",2
22950380,2711740,"Safety",1
22935683,2711748,"Data",1
22935684,2711748,"Essential Documents",16
22935686,2711748,"Other",1
22935687,2711748,"Safety",1
22922631,2711356,"Data",3
22922632,2711356,"Essential Documents",2
22922633,2711356,"Informed Consent Doc",1
22922634,2711356,"Investigational Prod",1
22922635,2711356,"Other",1
22922636,2711356,"Site Qualifications",1
22928432,2712170,"Investigational Prod",1
22928429,2712170,"Data",4
22928430,2712170,"Essential Documents",10
22928431,2712170,"Informed Consent Doc",1
22928433,2712170,"Site Qualifications",1
22931361,2712173,"Investigational Prod",4
22931358,2712173,"Alliance Partner/Ven",2
22931359,2712173,"Data",11
22931360,2712173,"Essential Documents",5
22931362,2712173,"Site Qualifications",2
22935628,2712189,"Data",3
22935629,2712189,"Essential Documents",8
22935630,2712189,"Inclusion/Exclusion ",1
22935631,2712189,"Other",3
22935632,2712189,"Safety",1
22935633,2712189,"Site Qualifications",1
22969972,2711354,"Other",1
22969973,2711354,"Site Qualifications",2
22922750,2711355,"Data",7
22922751,2711355,"Essential Documents",2
22922752,2711355,"Inclusion/Exclusion ",1
22922753,2711355,"Informed Consent Doc",4
22922754,2711355,"Investigational Prod",2
22922755,2711355,"Other",2
22922756,2711355,"Safety",1
22922757,2711355,"Site Qualifications",2
22968026,2714579,"Informed Consent Doc",1
22968023,2714579,"Alliance Partner/Ven",2
22968024,2714579,"Data",2
22968025,2714579,"Essential Documents",1
22968027,2714579,"Investigational Prod",2
22968028,2714579,"Safety",1
22968029,2714579,"Site Qualifications",1
22922324,2714623,"Data",1
22922325,2714623,"Essential Documents",1
22922326,2714623,"Investigational Prod",2
22922327,2714623,"Site Qualifications",1
22959024,2714540,"Alliance Partner/Ven",1
22959025,2714540,"Data",2
22959026,2714540,"Essential Documents",1
22959027,2714540,"Informed Consent Doc",1
22959028,2714540,"Investigational Prod",1
22959029,2714540,"Safety",3
22959030,2714540,"Site Qualifications",3
22953071,2714040,"Informed Consent Doc",2
22951579,2714592,"Data",1
22938619,2714595,"Data",2
22929068,2714596,"Data",5
22929069,2714596,"Investigational Prod",1
22929070,2714596,"Safety",1
22929071,2714596,"Site Qualifications",2
22939561,2714622,"Essential Documents",3
22956264,2714067,"Data",1
22956265,2714067,"Investigational Prod",1
22953242,2714340,"Essential Documents",2
22952028,2713985,"Data",2
22953069,2714040,"Data",3
