"HM_STUDY_ID","PROTOCOL_ID","PFIZER_PROTOCOL_ID","DEVELOPMENT_PHASE","STUDY_STATUS_CURRENT","STUDY_THERAPEUTIC_AREA","STUDY_TYPE","YN_STUDY_CLOSED","CCS_CLINICAL_PLACEMENT","TOT_SUBJ_ENTERED_STUDY","EARLIEST_FSFV_FROM_SUBJECTS","EARLIEST_FSFV_FROM_SITES","EARLIEST_FSFV_FROM_MILESTONES","LATEST_LSLV_FROM_SITES","PLANNED_LSLV","ACTUAL_LSLV","ACTIVE_PATIENT_COUNT","YN_EXCLUDED","EXCLUDED_REASON","YN_VISUALIZE","ETL_COMMENTS","YN_PD_EXCLUDED","PD_EXCLUDED_REASON","YN_SAE_EXCLUDED","SAE_EXCLUDED_REASON","YN_RT_EXCLUDED","RT_EXCLUDED_REASON","YN_TL_EXCLUDED","TL_EXCLUDED_REASON"
25615,"A3921192","A3921192","PHASE IV","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y",NA,694,2016-09-01,2016-09-01,2016-09-01,2018-12-17,2019-05-30,2019-07-05,533,"N",NA,"N","V_RATIO:.231988472622; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25629,"B3461045","B3461045","PHASE III","ONGOING","NEUROSCIENCE (NEUROLOGY)","INTERVENTIONAL","N",NA,1213,1946-09-10,2016-06-13,2016-06-13,NA,2017-05-26,2017-05-26,1388,"N",NA,"Y","V_RATIO:.144270403957; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25913,"B7601003","B7601003","PHASE II","TERMINATED","NEUROSCIENCE (NEUROLOGY)","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",108,2016-03-03,2016-03-03,2016-03-03,2017-11-10,2018-05-08,2018-05-08,108,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25933,"B1481038","B1481038","PHASE III","TERMINATED","CARDIOVASCULAR","INTERVENTIONAL","Y",NA,10667,2013-01-01,2013-10-29,2013-10-29,2017-04-03,2017-10-27,2017-12-21,12136,"N",NA,"N","V_RATIO:.137714446424; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26584,"A3921245","A3921245","PHASE IV","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",45,NA,2016-12-08,2016-12-08,2017-11-10,2018-01-15,2018-01-09,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
26638,"A0221109","A0221109","PHASE III","ONGOING","GENITOURINARY (UROLOGY)","INTERVENTIONAL","N",NA,11,2015-06-05,2015-06-05,2015-06-05,NA,2017-04-25,2017-04-25,13,"N",NA,"Y","V_RATIO:.181818181818; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25939,"A3921215","A3921215","PHASE III","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y",NA,209,2014-11-18,2014-11-18,2014-11-18,2017-03-15,2017-07-29,2017-07-29,209,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25953,"B1371012","B1371012","PHASE II","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,73,2015-04-28,2015-04-28,2015-04-28,NA,2018-04-02,2018-04-02,73,"N",NA,"Y","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25963,"B3501001","B3501001","PHASE I","COMPLETED","METABOLIC DISEASE","INTERVENTIONAL","Y","EXTERNAL - PLANNED",84,2014-09-15,2014-09-15,2014-09-15,2017-01-27,2017-07-20,2017-08-18,84,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26683,"A8241022","A8241022","PHASE II","TERMINATED","NEUROSCIENCE (NEUROLOGY)","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",188,2015-02-25,2015-02-25,2015-02-25,2017-02-06,2018-01-29,2018-01-29,188,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26729,"B2151009","B2151009","PHASE I","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,140,2016-06-14,2016-06-14,2016-06-14,NA,2016-08-09,2016-08-09,142,"N",NA,"Y","V_RATIO:.014285714286; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26006,"B7521001","B7521001","PHASE I","TERMINATED","ONCOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",60,2014-04-01,2014-04-09,2014-04-09,2017-05-10,2017-11-22,2017-11-22,60,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25682,"A5481019","A5481019","PHASE I","ONGOING","ONCOLOGY","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",26,2015-09-11,2015-09-11,2015-09-11,NA,2019-02-21,2019-02-21,27,"N",NA,"Y","V_RATIO:.038461538462; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26027,"B7541002","B7541002","PHASE II","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",50,2016-10-26,2016-10-26,2016-10-26,2018-08-30,2019-05-30,2019-06-10,50,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26353,"B3281006","B3281006","PHASE III","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y",NA,394,2014-09-30,2014-09-30,2014-09-30,2018-04-19,2018-09-20,2019-07-20,394,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26371,"B1641003","B1641003","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y","EXTERNAL - PLANNED",23,2014-08-27,2014-08-19,2014-08-19,2017-02-24,2017-09-28,2017-09-27,23,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26725,"B7801001","B7801001","PHASE I","ONGOING","IMMUNOLOGY","INTERVENTIONAL","N","BRUSSELS CRU - CONFIRMED",11,2019-01-14,2018-12-20,2018-12-20,NA,2018-12-20,2018-12-20,12,"N",NA,"Y","V_RATIO:.090909090909; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26733,"B7461006","B7461006","PHASE III","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,293,2017-05-08,2017-04-14,NA,NA,NA,NA,296,"N",NA,"Y","V_RATIO:.01023890785; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25710,"A4091063","A4091063","PHASE III","COMPLETED","PAIN","INTERVENTIONAL","N",NA,277,2016-05-26,2016-05-26,2016-05-26,2019-06-11,2019-07-08,2019-07-08,277,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26387,"B0601002","B0601002","PHASE I","ONGOING","ONCOLOGY","INTERVENTIONAL","N","EXTERNAL - PLANNED",175,2015-04-23,2015-04-23,2015-04-23,NA,2015-09-05,2015-09-05,172,"N",NA,"Y","V_RATIO:.017142857143; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26765,"B7831001","B7831001","PHASE I","TERMINATED","ONCOLOGY","INTERVENTIONAL","N","EXTERNAL - PLANNED",28,2016-04-28,2016-04-28,2016-04-28,2019-03-29,2019-04-26,2019-04-26,28,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25174,"B5161002","B5161002","PHASE II","TERMINATED","GENETIC DISEASES","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",121,2014-11-24,2014-11-24,2014-11-24,2018-11-23,2018-12-21,2018-12-21,121,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
25225,"B4541006","B4541006","PHASE IV","TERMINATED","PAIN","INTERVENTIONAL","N",NA,20,2015-04-24,2015-04-24,2015-04-24,2019-06-26,2019-06-26,2019-06-26,19,"N",NA,"N","V_RATIO:.05; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
24700,"A1281198","A1281198","PHASE III","ONGOING","NEUROSCIENCE (PSYCHIATRY)","INTERVENTIONAL","N",NA,164,2014-05-23,2014-05-23,2014-05-23,NA,2015-06-04,2015-06-04,164,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26810,"B5091009","B5091009","PHASE II","ONGOING","VACCINES","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",855,2015-07-16,2015-07-16,2015-07-16,NA,2017-11-06,2017-11-06,884,"N",NA,"Y","V_RATIO:.033918128655; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27092,"B7981005","B7981005","PHASE II","ONGOING","IMMUNOLOGY","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",225,2017-02-03,2017-02-03,2017-02-03,NA,2018-09-27,2018-09-27,228,"N",NA,"Y","V_RATIO:.013333333333; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27528,"C0231002","C0231002","PHASE I","COMPLETED","CARDIOVASCULAR","INTERVENTIONAL","Y","BRUSSELS CRU - CONFIRMED",16,2017-05-11,2017-05-11,NA,2017-09-05,2018-02-28,2018-02-28,16,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26827,"A8081056","A8081056","N/A (NOT APPLICABLE)","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,4,2016-12-21,2016-12-21,2016-12-21,NA,2016-12-21,2016-12-21,4,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
28007,"B1521064","B1521064","PHASE I","COMPLETED","METABOLIC DISEASE","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",28,NA,2018-09-03,NA,2018-10-25,2019-05-09,2019-05-08,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
28008,"C3621001","C3621001","PHASE I","ONGOING","VACCINES","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",7,2018-11-27,2018-11-27,NA,NA,2018-11-27,2018-11-27,11,"N",NA,"Y","V_RATIO:.571428571429; SD02:Subject data control check failed.","N",NA,"N",NA,"N",NA,"N",NA
27265,"B7861002","B7861002","PHASE I","TERMINATED","HEMATOLOGY","INTERVENTIONAL","Y",NA,8,2016-12-22,2016-11-28,2016-11-28,2017-12-05,2018-04-25,2018-04-25,8,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
24449,"A3921139","A3921139","PHASE III","ONGOING","INFLAMMATION","INTERVENTIONAL","N",NA,944,2012-10-01,2012-10-01,2012-10-01,NA,2014-08-06,2014-08-06,955,"N",NA,"Y","V_RATIO:.011652542373; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
24604,"A1481298","A1481298","PHASE IV","COMPLETED","RESPIRATORY","INTERVENTIONAL","Y",NA,6,2013-03-25,2012-08-24,2012-08-24,2018-03-12,2018-03-12,2018-08-02,6,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
24982,"B1371005","B1371005","PHASE I","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,42,2014-03-26,2014-03-25,2014-03-25,NA,2016-08-15,2016-08-15,41,"N",NA,"Y","V_RATIO:.02380952381; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
24983,"B3271002","B3271002","PHASE III","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,707,2014-02-25,2014-02-24,2014-02-24,NA,2015-04-17,2015-04-17,708,"N",NA,"Y","V_RATIO:.001414427157; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27784,"C3421001","C3421001","PHASE I","COMPLETED","METABOLIC DISEASE","INTERVENTIONAL","Y","NEW HAVEN CRU - CONFIRMED",25,2017-10-17,2017-10-17,NA,2018-03-22,2018-10-25,2019-02-28,25,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27456,"B3461059","B3461059","PHASE I","COMPLETED","NEUROSCIENCE (NEUROLOGY)","INTERVENTIONAL","Y","BRUSSELS CRU - CONFIRMED",9,2018-09-28,2018-09-28,NA,2019-01-10,2019-05-22,2019-05-22,9,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27452,"A8081064","A8081064","N/A (NOT APPLICABLE)","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y",NA,15,2016-11-02,2016-11-02,NA,2017-06-09,2017-12-19,2017-12-19,15,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27848,"MDV3100-11","C3431007","PHASE II","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,118,NA,2013-06-12,NA,NA,2013-06-12,2013-06-12,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27849,"MDV3100-12","C3431008","PHASE II","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,247,NA,2013-12-20,NA,NA,2013-12-20,2013-12-20,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27850,"MDV3100-13","C3431004","PHASE III","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,1068,NA,2014-12-17,NA,NA,2017-05-30,2017-05-30,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27851,"MDV3100-14","C3431005","PHASE III","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,1401,NA,2013-10-31,NA,NA,2013-10-31,2013-10-31,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27852,"MDV3100-18","C3431012","PHASE II","COMPLETED","ONCOLOGY","INTERVENTIONAL","N",NA,23,NA,2015-11-30,NA,2019-05-03,2019-10-08,2019-10-08,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27854,"MDV3800-01","C3441001","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y",NA,34,NA,2017-02-08,NA,2019-02-01,2019-07-23,2019-07-23,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27855,"MDV3800-02","C3441002","PHASE I","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,33,NA,2016-09-30,NA,NA,2016-09-30,2016-09-30,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27856,"MDV3800-03","C3441003","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y",NA,6,NA,2016-09-27,NA,2017-06-28,2018-02-15,2018-02-14,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27857,"MDV3800-04","C3441004","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y",NA,36,NA,2016-11-07,NA,2017-12-18,2018-06-22,2018-06-26,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27859,"MDV3800-13","C3441010","PHASE II","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,117,NA,2016-11-08,NA,NA,2017-05-23,2017-05-23,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27860,"MDV3800-14","C3441005","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y",NA,38,NA,2016-10-13,NA,2017-06-22,2018-03-13,2018-03-13,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27861,"673-201","C3441008","PHASE II","TERMINATED","ONCOLOGY","INTERVENTIONAL","Y",NA,84,NA,2013-12-13,NA,2018-10-31,2019-05-02,2019-05-02,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27862,"673-301","C3441009","PHASE III","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,431,NA,2013-10-14,NA,NA,2016-03-31,2016-03-31,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27864,"MDV3100-03","C3431003","PHASE III","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y",NA,1713,NA,2010-09-16,NA,2019-02-14,2019-07-10,2019-07-10,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27869,"MDV3100-08","C3431006","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y",NA,101,NA,2012-04-30,NA,2018-01-22,2018-11-01,2018-11-01,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27871,"MDV3100-10","C3431013","PHASE IV","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,509,NA,2013-10-22,NA,NA,2013-10-22,2013-10-22,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
26915,"A7471055","A7471055","PHASE II","COMPLETED","ONCOLOGY","INTERVENTIONAL","N",NA,7,2015-07-23,2015-07-10,2015-07-10,2019-05-30,2019-10-17,2019-10-17,7,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27695,"B7981008","B7981008","PHASE I","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y","BRUSSELS CRU - CONFIRMED",6,2017-08-30,2017-08-30,NA,2017-11-22,2018-03-19,2018-03-19,6,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
28002,"B7461022","B7461022","PHASE I","COMPLETED","ONCOLOGY","INTERVENTIONAL","Y","NEW HAVEN CRU - CONFIRMED",20,2017-10-05,2017-10-05,NA,2018-01-08,2018-05-17,2018-05-17,20,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27458,"B7981006","B7981006","PHASE II","COMPLETED","IMMUNOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",70,2016-12-20,2016-12-20,NA,2017-12-12,2018-07-25,2018-07-25,70,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27460,"C1121012","C1121012","PHASE I","COMPLETED","HEMATOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",256,2016-10-18,2016-10-18,NA,2017-01-31,2017-12-21,2017-12-21,257,"N",NA,"N","V_RATIO:.00390625; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27461,"C2541001","C2541001","PHASE I","COMPLETED","METABOLIC DISEASE","INTERVENTIONAL","Y","NEW HAVEN CRU - CONFIRMED",17,2017-03-16,2017-03-16,NA,2017-07-17,2017-11-15,2018-10-30,17,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27462,"C2541002","C2541002","PHASE I","COMPLETED","METABOLIC DISEASE","INTERVENTIONAL","Y","PFIZER CRU MULTIPLE - CONFIRMED",60,2017-08-01,2017-08-01,NA,2018-05-03,2018-11-06,2018-11-06,60,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27465,"A3921282","A3921282","PHASE IV","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",33,NA,2016-12-12,NA,2017-10-30,2018-01-15,2018-01-09,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27076,"B9991011","B9991011","PHASE III","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,29,2016-12-16,2016-12-16,2016-12-16,NA,2019-07-15,2019-07-15,29,"N",NA,"Y","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
27077,"B4541023","B4541023","PHASE I","COMPLETED","PAIN","INTERVENTIONAL","N","NEW HAVEN CRU - CONFIRMED",30,2019-01-10,2019-01-10,2019-01-10,2019-04-02,2019-04-02,2019-04-02,30,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
24488,"FX1A-303","B3461023","PHASE III","ONGOING","NEUROSCIENCE (NEUROLOGY)","INTERVENTIONAL","N","EXTERNAL - CONFIRMED",93,NA,2009-08-05,2009-08-05,NA,2009-08-05,2009-08-05,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
24381,"B2341002","B2341002","PHASE I","TERMINATED","HEMATOLOGY","INTERVENTIONAL","Y","EXTERNAL - CONFIRMED",21,2016-11-26,2016-11-26,2016-11-26,2018-01-16,2018-07-27,2018-07-27,21,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
26919,"B4711005","B4711005","PHASE I","TERMINATED","OPHTHALMOLOGY","INTERVENTIONAL","Y","EXTERNAL - PLANNED",2,2016-09-21,2016-09-21,2016-09-21,2019-07-19,2021-03-25,2019-07-19,NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA,"N",NA
27018,"B1371019","B1371019","PHASE III","ONGOING","ONCOLOGY","INTERVENTIONAL","N",NA,415,2018-04-20,2018-04-20,2018-04-20,NA,2019-02-21,2019-02-21,647,"N",NA,"Y","V_RATIO:.559036144578; SD02:Subject data control check failed.","N",NA,"N",NA,"N",NA,"N",NA
27124,"C0221001","C0221001","PHASE I","COMPLETED","INFLAMMATION","INTERVENTIONAL","Y","BRUSSELS CRU - CONFIRMED",79,2017-05-10,2017-05-10,NA,2018-05-03,NA,NA,79,"N",NA,"N","V_RATIO:0; SD01:Subject data control check passed","N",NA,"N",NA,"N",NA,"N",NA
