ID,Symbol,Start_date,market_cap,Sector,Country,CEO,No.of employee,Revenue (Cr),Net-valuation (Cr),Share_price (RS),Company_background,Type,Product
PROJ0x7c9f,,,?,Public_sector,,?,7321.0,1.4363390222654462,359.0847555663615,2316.833948936601," As such, malware is undesirable.Early electronic computers such as Colossus made use of punched tape, a long strip of paper on which data was represented by a series of holes, a technology now obsolete. Applications are usually independent programs from the operating system, though they are often tailored for specific platforms.",Light Vehicles,AI
PROJ0x6e75,,"November,1976",large-cap,?,,James Gomes,,15.652360875571627,-11109.278662962448,,"The automotive industry began in the 1860s with hundreds of manufacturers that pioneered the horseless carriage.These were the 15 largest manufacturers by production volume in 2017, according to OICA.General Motors holds a 94% stake in GM Korea and SAIC Group holds a 6% stake.",Light Vehicles,Car
PROJ0x84b4,LFX,,large-cap,Private_sector,,Abel Page,,20.440237547864264,-19474.1405396537,," If developed, this vehicle could allow Russia to launch missions towards establishing a permanent Moon base with simpler logistics, launching just one or two 80-to-160-tonne super-heavy rockets instead of four 40-tonne Angara A5Vs implying quick-sequence launches and multiple in-orbit rendezvous.8% owned by Koç Holding.8% owned by Koç Holding.",Heavy Vehicles,JCP
PROJ0x2a74,MQM,"January,1972",?,?,,?,4727.0,40.809298580551015,37957.678417298026,,Ford and Koç Holding have a 50-50 joint venture called Ford Otosan .1% stake in Hino.,Heavy Vehicles,Truck
PROJ0x62e6,,"February,1976",large-cap,?,,?,43535.0,?,7419.474751182297,147.35," The automotive industry does not include industries dedicated to the maintenance of automobiles following delivery to the end-user, such as automobile repair shops and motor fuel filling stations. The Nova designs were also studied by NASA before the agency chose the Saturn V in the early 1960s.",Heavy Vehicles,JCP
PROJ0x757b,,,large-cap,Public_sector,Tunisia,?,20415.0,8.03507655315908,2008.7691382897697,,8 million units. Product recalls happen in every industry and can be production-related or stem from the raw material.,Light Vehicles,Bike
PROJ0x1081,IOM,,?,?,,?,180.0,?,11347.828678987595,86.05, Typical examples include office suites and video games.User-written software  End-user development tailors systems to meet users' specific needs.,Light Vehicles,AI
PROJ0x83b3,,,?,?,,?,,?,,7326.562730423544," In 1980, the U.In case of safety issues, danger, product defect or faulty procedure during the manufacturing of the motor vehicle, the maker can request to return either a batch or the entire production run.Volvo Group and Eicher Motors has a 50-50% joint venture called VE Commercial Vehicles.",Heavy Vehicles,JCP
PROJ0x5128,,,large-cap,?,,?,51156.0,7.2907155444188145,,656.35,FCA holds a 10% stake in Ferrari.Dongfeng Motor has a joint venture with AB Volvo called Dongfeng Nissan-Diesel . According to a J.,Light Vehicles,Bike
PROJ0x1a18,,,mid-cap,?,,Michael Walk,,2.9727977975672752,,100.55,"Other well-known large software companies include Google, IBM, TCS, Infosys, Wipro, HCL Technologies, Oracle, Novell, SAP, Symantec, Adobe Systems, Sidetrade and Corel, while small companies often provide innovation. Software standard organizations like the W3C, IETF develop recommended software standards such as XML, HTTP and HTML, so that software can interoperate through these standards.S.",Light Vehicles,AI
PROJ0x5cb,,"June,1990",?,?,,?,47536.0,-999.0,5706.251991532847,3375.427636535925,"S.Tata Motors and Marcopolo have a joint venture called Tata Marcopolo, where Tata owns 51% and Marcopolo owns 49%.87 persons.",Heavy Vehicles,Truck
PROJ0x68a7,,,large-cap,Public_sector,,Catrina Watson,,12.49960277935214,1874.9404169028207,,Mahindra & Mahindra and Navistar International have a joint venture called Mahindra Trucks and Buses Limited .Tata Motors holds a 100% stake in Jaguar Land Rover.Ford and Sollers JSC have a 50-50 joint venture called Ford Sollers .,Light Vehicles,Bike
PROJ0x621b,BCK,"May,1955",large-cap,Public_sector,,?,70887.0,-999.0,4574.060633972173,629.8," The exceptions to these are Mercedes-Benz, which has a dedicated commercial vehicle network for heavy and light commercial vehicles, Volkswagen, whose franchised dealers usually have standalone van centres, Iveco, and Isuzu Truck.Sollers JSC is involved in joint ventures with Ford (Ford Sollers ) and Mazda to produce cars.",Light Vehicles,Car
PROJ0x561b,,,?,?,,?,,19.148839003795494,,205.4," The three had a total mass of 45 t (99,000 lb). FMG, Beijing Automotive Group, China Motor, and Daimler has a joint venture called Fujian Benz.Fujian Motors Group holds a 15% stake in King Long.",Heavy Vehicles,Truck
PROJ0x24f3,,,small-cap,Public_sector,,?,29319.0,-999.0,,1552.2562452096313,"software available for a fee, often inaccurately termed ""commercial software"", which can only be legally used on purchase of a license.  Computer science (CS) programs tend to focus more on theory and design, whereas Information Technology programs are structured to equip the graduate with expertise in the practical application of technology solutions to support modern business and user needs.Show() to close or open the application.",Light Vehicles,AI
PROJ0x6cd8,,"September,1968",?,Private_sector,,Donald Flowers,,1.179104556731844,,541.1,"87 persons. For many decades, the United States led the world in total automobile production. According to a J.",Heavy Vehicles,Truck
PROJ0x178e,,,?,,,Cassandra Worsham,37318.0,3.3832069969702068,676.6413993940412,2501.456477080122,Changan Automobile and Ford have a 50-50% joint venture called Changan Ford. The LCV designation is also occasionally used in both Canada and Ireland (where the term commercial van is more commonly used).,Light Vehicles,Car
PROJ0x6253,XFY,"April,1965",small-cap,?,,?,55973.0,-999.0,,995.7," produced about 75 percent of world's auto production.5% stake. In the United States, vehicle sales peaked in 2000, at 17.",Light Vehicles,Car
PROJ0x868a,,"March,2013",large-cap,Private_sector,,?,2181.0,39.66457892042685,,793.4,Ford and Navistar International have a 50-50 joint venture called Blue Diamond Truck .73% stake in Scania (68.,Light Vehicles,Bike
PROJ0x65a9,,"March,1996",?,Public_sector,,?,,-999.0,3836.623932565061,-2248.7122208452233,"Ford and Navistar International have a 50-50 joint venture called Blue Diamond Truck .Hyundai Motor Company and Kibar Holding has a joint venture called Hyundai Assan Otomotiv, Hyundai owns 70% and Kibar Holding owns 30%.",Light Vehicles,Car
PROJ0x6d35,,"May,1964",?,Private_sector,,Jack Finseth,,1.699332330209407,42.48330825523517,53.05, ISBN 9780735211759. Information Technology – A Luddite Analysis.								The field of information ethics was established by mathematician Norbert Wiener in the 1940s.,Light Vehicles,AI
PROJ0x3bad,SRQ,,?,Public_sector,Dominican Republic,?,,-999.0,1044.2872468223754,500.4,"Changan Automobile and JMCG have a joint venture called Jiangling Motor Holding. In 1929, before the Great Depression, the world had 32,028,500 automobiles in use, and the U.General Motors and SAIC Motor, both have two joint ventures in SAIC-GM and SAIC-GM-Wuling.",Light Vehicles,Truck
PROJ0x1e15,,,?,Private_sector,,?,,25.19573931491656,,,"SAIPA holds a 51% stake in Pars Khodro.Dongfeng Motor has a 50-50% joint venture with Renault named Dongfeng Renault in Wuhan, which was founded in the end of 2013FAW Group and General Motors has a 50-50 joint venture called FAW-GM.",Light Vehicles,Car
PROJ0x45a1,ESE,,?,Public_sector,,David Tapia,64433.0,2.8573333325446937,428.59999988170404,91.1," Software can be quite a profitable industry: Bill Gates, the co-founder of Microsoft was the richest person in the world in 2009, largely due to his ownership of a significant number of shares in Microsoft, the company responsible for Microsoft Windows and Microsoft Office software products - both market leaders in their respective product categories.Desktop applications such as web browsers and Microsoft Office, as well as smartphone and tablet applications (called ""apps"").",Light Vehicles,AI
PROJ0x7c4b,UIF,"December,1988",small-cap,?,Fiji,?,,2.1141791299179302,28647.46842417862,-2130.9936782982604," Although it was programmable, it was not general-purpose, being designed to perform only a single task.Early electronic computers such as Colossus made use of punched tape, a long strip of paper on which data was represented by a series of holes, a technology now obsolete.",Light Vehicles,AI
PROJ0x2739,RBJ,,small-cap,,,?,75482.0,-999.0,413.1282930479682,68.95," During the Second World War, Colossus developed the first electronic digital computer to decrypt German messages. (1999).",Light Vehicles,AI
PROJ0x7614,,"December,1987",mid-cap,Private_sector,,Sadie Carbaugh,,?,798.3609224587445,," Data warehouses began to be developed in the 1980s to integrate these disparate stores. Application software is often purchased separately from computer hardware. Whisler commented that ""the new technology does not yet have a single established name.",Light Vehicles,AI
PROJ0x7444,,,mid-cap,Private_sector,,Elsie White,,3.7625164222974514,1128.7549266892356,7063.370027107276," Qualifying light commercial vehicles include pickup trucks, vans and three-wheelers – all commercially based goods or passenger carrier vehicles.FCA holds a 10% stake in Ferrari.",Light Vehicles,Bike
PROJ0x8246,,,large-cap,?,,?,,15.444516642422535,,756.45,Paccar has a 19% stake in Tatra.73% stake in Scania (68.,Light Vehicles,Bike
PROJ0x1a91,,,?,?,,?,54094.0,-999.0,949.8529165600083,471.4,9 million units.General Motors holds a 94% stake in GM Korea and SAIC Group holds a 6% stake.Mahindra & Mahindra and Navistar International have a joint venture called Mahindra Trucks and Buses Limited .,Heavy Vehicles,JCP
PROJ0x3b21,NYCW,,?,?,,?,24171.0,-999.0,16321.053420115571,960.55,2% stake in Toyota.FCA holds 37.Dongfeng Motor holds a 12.,Heavy Vehicles,JCP
PROJ0x373f,,"October,1954",small-cap,Private_sector,,?,2637.0,-999.0,,641.6,Navistar International and JAC has a joint venture called Anhui Jianghuai Navistar .S.,Light Vehicles,Bike
PROJ0x3852,HCJ,,?,?,,James Towery,3822.0,-999.0,,-663.5613910951887,"Dongfeng Motor holds a 12.05% stake in Mazda, while Mazda holds 0.Fiat Industrial owns a 46% stake in Zastava Trucks.",Light Vehicles,Truck
PROJ0x384b,,,mid-cap,Public_sector,,?,,4.2650099682400056,-15160.726066092018,-816.5170704476732," The three had a total mass of 45 t (99,000 lb).Sollers JSC is involved in joint ventures with Ford (Ford Sollers ) and Mazda to produce cars.Sollers JSC is involved in joint ventures with Ford (Ford Sollers ) and Mazda to produce cars.",Heavy Vehicles,JCP
PROJ0x9848,,,small-cap,Public_sector,,Anna Watson,1927.0,?,28.66683668917189,1642.3369266695565,"The first theory about software—prior to the creation of computers as we know them today—was proposed by Alan Turing in his 1935 essay, On Computable Numbers, with an Application to the Entscheidungsproblem (decision problem).XML has been increasingly employed as a means of data interchange since the early 2000s, particularly for machine-oriented interactions such as those involved in web-oriented protocols such as SOAP, describing ""data-in-transit rather than .",Light Vehicles,AI
PROJ0xd6d,CDVY,,?,Private_sector,,?,,-999.0,-10345.113081621534,206.35,Paccar has a 19% stake in Tatra.Sollers JSC is involved in joint ventures with Ford (Ford Sollers ) and Mazda to produce cars.,Light Vehicles,Bike
PROJ0x7ad1,,,large-cap,Public_sector,,?,3242.0,-999.0,,-2946.6616922293238,MAN SE holds a 17.General Motors holds a 20% stake in Industries Mécaniques Maghrébines.Toyota holds a 16.,Heavy Vehicles,Truck
PROJ0xfee,,,?,,,?,,19.37013229852456,,5055.6801846276285,"The automotive industry comprises a wide range of companies and organizations involved in the design, development, manufacturing, marketing, and selling of motor vehicles.Ford and Navistar International have a 50-50 joint venture called Blue Diamond Truck .",Light Vehicles,Bike
PROJ0x1e5c,FLV,,?,Private_sector,,?,,33.846022239141824,23837.454980778428,390.35,Ford and Sollers JSC have a 50-50 joint venture called Ford Sollers .Sollers JSC is involved in joint ventures with Ford (Ford Sollers ) and Mazda to produce cars.,Heavy Vehicles,Truck
PROJ0x3cc2,,,?,,,?,17304.0,21.249390141344875,531.2347535336219,422.7,"Comparison of orbital launch systemsList of orbital launch systemsSounding rocket, suborbital launch vehicleSmall-lift launch vehicle, capable of lifting up to 2,000 kg (4,400 lb) to low Earth orbitMedium-lift launch vehicle, capable of lifting 2,000 to 20,000 kg (4,400 to 44,000 lb) of payload into low Earth orbitHeavy-lift launch vehicle, capable of lifting 20,000 to 50,000 kg (44,000 to 110,000 lb) of payload into low Earth orbit.Paccar has a 19% stake in Tatra. had one car per 4.",Heavy Vehicles,Truck
PROJ0x50a4,,,large-cap,?,,Octavio Brooks,,-999.0,5496.686097938914,125.05,"S.In case of safety issues, danger, product defect or faulty procedure during the manufacturing of the motor vehicle, the maker can request to return either a batch or the entire production run. In the United States, vehicle sales peaked in 2000, at 17.",Light Vehicles,Car
PROJ0x703e,,,?,Private_sector,,?,4007.0,29.290618630368794,5858.123726073759,-3254.043203098573,"General Motors and UzAvtosanoat have a joint venture called GM Uzbekistan, UzAvtosanoat owns 75% and General Motors owns 25%.The word automotive comes from the Greek autos (self), and Latin motivus (of motion), referring to any form of self-powered vehicle.The U.",Light Vehicles,Truck
PROJ0x986f,PWO,,?,Public_sector,,Timothy Mcginnis,25430.0,?,351.8834773024144,69.1,"Utilities  which are computer programs designed to assist users in the maintenance and care of their computers. For instance, the Spring Framework is used for implementing enterprise applications, the Windows Forms library is used for designing graphical user interface (GUI) applications like Microsoft Word, and Windows Communication Foundation is used for designing web services.",Light Vehicles,AI
PROJ0x8ce,,"November,1977",mid-cap,Private_sector,,?,,10.850278284708693,1085.0278284708693,354.5," It never left the drawing board.Changan Automobile has a 50-50% joint venture with Mazda (Changan Mazda ).Chery has a joint venture with Jaguar Land Rover called Chery Jaguar Land Rover, both companies hold a 50-50% stake.",Heavy Vehicles,Truck
PROJ0x5fdd,ZWF,,?,Public_sector,,Maria Pearcy,,34.89948818821525,3489.9488188215255,5277.489645410666,"05% stake in Mazda, while Mazda holds 0. With 19.",Light Vehicles,Bike
PROJ0x94d5,,,?,?,,Alfredo Clark,,?,723.696713732237,550.4,"Changan Automobile has a 50-50% joint venture with Mazda (Changan Mazda ).^A  Includes mass of Apollo command and service modules, Apollo Lunar Module, Spacecraft/LM Adapter, Saturn V Instrument Unit, S-IVB stage, and propellant for translunar injection; payload mass to LEO is about 122.In India, there have been multiple mentions about concept of various heavy and super-heavy rocket designs and configurations, capable of putting 50 to 100 tonnes in LEO and 20 to 35 tonnes in GTO in various presentations from ISRO officials which were studied in 2000s and 2010s.",Heavy Vehicles,JCP
PROJ0x83d3,OFF,,?,Private_sector,,?,,35.33155399728338,883.2888499320842,," From 1970 (140 models) over 1998 (260 models) to 2012 (684 models), the number of automobile models in the U. in production and held this rank until 2009, when China took the top spot with 13. It relied entirely on the disposable launcher Energia to reach orbit.",Heavy Vehicles,Truck
PROJ0x6c59,,,?,?,Qatar,Alison Retchless,36141.0,-999.0,566.7297822785845,1806.5036545104695,"IBM introduced the first hard disk drive in 1956, as a component of their 305 RAMAC computer system..The relational database model introduced a programming-language independent Structured Query Language (SQL), based on relational algebra.",Light Vehicles,AI
PROJ0x51db,,"January,1988",mid-cap,Private_sector,,?,17196.0,4.0731304779537965,814.6260955907593,60.95,"The term is commonly used as a synonym for computers and computer networks, but it also encompasses other information distribution technologies such as television and telephones.Devices have been used to aid computation for thousands of years, probably initially in the form of a tally stick.",Light Vehicles,AI
PROJ0x50fa,,"February,1986",large-cap,Private_sector,,George Rowell,,?,2594.6700614112037,-5676.264112380124," However, the automotive industry is still particularly concerned about product recalls, which cause considerable financial consequences.SpaceX Interplanetary Transport System was a 12 m (39 ft) diameter launch vehicle concept unveiled in 2016.SAIPA holds a 51% stake in Pars Khodro.",Heavy Vehicles,JCP
PROJ0x55d9,,,small-cap,Private_sector,,Carl Forsyth,,1.377657300763984,,91.5, Databases Database Management Systems (DMS) emerged in the 1960s to address the problem of storing and retrieving large amounts of data accurately and quickly. Leavitt and Thomas L.S.,Light Vehicles,AI
PROJ0x9871,DAQ,,small-cap,,,Margaret Grant,,?,-25561.302961543995,,"76%.87 persons. Usually, a car dealer will have a franchise for the sale of a manufacturer's cars and the LCVs will be sold as an addition.",Light Vehicles,Bike
PROJ0x53d7,WKM,"November,1993",?,Private_sector,,?,,2.7636619769825024,,820.5,"General Motors and UzAvtosanoat have a joint venture called GM Uzbekistan, UzAvtosanoat owns 75% and General Motors owns 25%.As part of the Soviet crewed lunar project to compete with Apollo/Saturn V, the N1 rocket was secretly designed with a payload capacity of 95 t (209,000 lb).8 t (508,800 lb) into low earth orbit and 88.",Heavy Vehicles,JCP
PROJ0x9321,,"December,1981",?,Public_sector,,?,18840.0,?,367.98285695077834,-3505.340989992287," The standard ISO 26262, is considered as one of the best practice framework for achieving automotive functional safety. The LCV designation is also occasionally used in both Canada and Ireland (where the term commercial van is more commonly used).  There is a large network of independent used commercial vehicle retailers who retail thousands of used commercial vehicles every month.",Light Vehicles,Car
PROJ0x3b94,,"May,1988",?,Private_sector,,?,,6.24760556952941,937.1408354294116,-8347.820151838063,FAW Group has a 50-50 joint venture with Toyota called Sichuan FAW Toyota Motor and both companies also have another joint venture called Ranz . Mahindra & Mahindra owns 51% and Navistar International owns 49%.,Light Vehicles,Truck
PROJ0x375c,,"February,1997",small-cap,Private_sector,Mozambique,?,,-999.0,16965.701060431755,99.15, IDEs may do this by either invoking the relevant individual tools or by re-implementing their functionality in a new way. On a PC one will usually have the ability to change the platform software.,Light Vehicles,AI
PROJ0x2b16,,"August,1963",?,,Swaziland,?,53775.0,-999.0,66157.43043172512,458.6,"com. In 1929, before the Great Depression, the world had 32,028,500 automobiles in use, and the U.",Light Vehicles,Bike
PROJ0x7262,,"January,1982",small-cap,,,?,,15.792701473696615,394.8175368424154,-2798.7197228772748," In the automotive industry, safety means that users, operators or manufacturers do not face any risk or danger coming from the motor vehicle or its spare parts.Chery and Israel Corporation has a joint venture called Qoros, both companies hold a 50-50% stake. The study, performed in 2010 expected this trend to accelerate.",Light Vehicles,Bike
PROJ0x41e9,KWK,"March,1955",large-cap,Public_sector,,?,94.0,14.566614670743446,1456.6614670743445,781.8,"4 t (270,000 lb)^C  Required upper stage or payload to perform final orbital insertion^D  Falcon Heavy has only flown in a configuration where all three boosters are intended to be recovered, which has a theoretical payload limit of around 45 tonnes; the first flight in a configuration where one booster core is deliberately expended is planned for July 2021.Tata Motors also formed a joint venture in India with Fiat and gained access to Fiat's diesel engine technology. In February 2018, the КРК СТК (space rocket complex of the super-heavy class) design was updated to lift at least 90 tonnes to LEO and 20 tonnes to lunar polar orbit, and to be launched from Vostochny Cosmodrome.",Heavy Vehicles,JCP
PROJ0x7112,,"August,2002",mid-cap,,,?,22570.0,-999.0,,55.55,"Close() and Form1. (1994), Information Technology and the Corporation of the 1990s, Oxford University PressGitta, Cosmas and South, David (2011).",Light Vehicles,AI
PROJ0x4823,,,small-cap,Private_sector,,?,,?,233.46275432833244,70.85," the actual software packages implementing the patent) are not supposed to be patentable either—the latter are already covered by copyright, generally automatically. Malware is closely associated with computer-related crimes, though some malicious programs may have been designed as practical jokes.",Light Vehicles,AI
PROJ0x842,,"May,1976",small-cap,Private_sector,,James Gonzales,31179.0,?,,,Toyota holds a 4.Changan Automobile has a 50-50% joint venture with Mazda (Changan Mazda ).Mahindra & Mahindra and Navistar International have a joint venture called Mahindra Trucks and Buses Limited .,Light Vehicles,Bike
PROJ0x3105,DOJ,,?,Private_sector,,Nathaniel Foxworth,8471.0,11.826367550723822,6224.8160434596275,-5433.002632359096,"7% stake in MAN SE (55. The automobile is a primary mode of transportation for many developed economies. BMW owns a 50% stake, Brilliance owns a 40.",Light Vehicles,Car
PROJ0x86d1,,,?,?,,?,,20.821388382340018,11316.85997151577,685.15," FMG, China Motor, and Mitsubishi Motors has a joint venture called Soueast, FMG holds a 50% stake, and both China Motor and Mitsubishi Motors holds an equal 25% stake. The Detroit branch of Boston Consulting Group predicted that, by 2014, one-third of world demand would be in the four BRIC markets (Brazil, Russia, India and China).",Light Vehicles,Bike
PROJ0x8a7f,HGE,,?,?,Dominican Republic,?,,16.514605387269448,-8167.46134305658,658.8,  The Porsche automotive business is fully owned by the Volkswagen Group.7% stake in MAN SE (55.Mahindra & Mahindra holds a 70% stake in SsangYong Motor .,Light Vehicles,Bike
PROJ0x4950,,,?,Private_sector,Ghana,?,,?,,,"25% stake in Toyota.Dongfeng Motor holds a 12.Daimler AG and Geely Holding Group have a joint venture called smart Automobile, both companies hold a 50-50% stake.",Heavy Vehicles,Truck
PROJ0x828c,,,mid-cap,?,,?,23259.0,7.763269230850956,1164.4903846276434,916.95," had one car per 4.FCA holds a 67% stake in Fiat Automobili Srbija. In 1980, the U.",Light Vehicles,Bike
PROJ0x6a10,TKR,,large-cap,Public_sector,,?,,-999.0,,-3467.959138632168,"ZAP holds a 51% stake in Zhejiang Jonway.General Motors holds a 94% stake in GM Korea and SAIC Group holds a 6% stake.6% voting rights), a 53.",Light Vehicles,Truck
PROJ0x6f2e,,,large-cap,?,,Charlotte Gilcrease,3855.0,?,4746.094646786843,-1786.2227409872046,Sollers JSC is involved in joint ventures with Ford (Ford Sollers ) and Mazda to produce cars.FAW Group has a 50-50 joint venture with Toyota called Sichuan FAW Toyota Motor and both companies also have another joint venture called Ranz .,Light Vehicles,Bike
PROJ0x9b02,ZXI,,?,?,,?,7340.0,7.856725507020994,-9662.887996414513,837.75," Energia launched twice before the program was cancelled, but only one flight reached orbit. It is one of the world's largest industries by revenue.",Light Vehicles,Truck
PROJ0x38a8,,,large-cap,Public_sector,,?,,-999.0,,," Safety is a state that implies to be protected from any risk, danger, damage or cause of injury. The LCV concept was created as a compact truck and is usually optimised to be tough-built, have low operating costs and powerful yet fuel efficient engines, and to be used in intra-city operations.",Light Vehicles,Car
PROJ0x8df2,NMY,"February,1995",?,?,Mauritius,Aubrey Miller,71567.0,17.804679368786193,2670.7019053179292,482.35,Volkswagen Group holds a 37.Mitsubishi Group holds 20% of Mitsubishi Motors.FAW Group has a 50-50 joint venture with Toyota called Sichuan FAW Toyota Motor and both companies also have another joint venture called Ranz .,Heavy Vehicles,None
PROJ0x53fd,,,large-cap,Private_sector,,?,,39.49197799242675,-24387.403777767653,,"Yenisei, a super heavy-lift launch vehicle using existing components instead of pushing the less-powerful Angara A5V project, was proposed by Russia's RSC Energia in August 2016.MAN SE holds a 17.",Light Vehicles,Truck
PROJ0x6e5e,,,?,,,Victor Ford,11639.0,6.6200712143462495,-11293.450959791091,,"PSA and Toyota have a 50-50% joint venture called Toyota Peugeot Citroen Automobile Czech . Safety is a state that implies to be protected from any risk, danger, damage or cause of injury.",Light Vehicles,Bike
PROJ0xd3e,,,?,Private_sector,,?,15956.0,-999.0,,330.2,"General Motors and UzAvtosanoat have a joint venture called GM Uzbekistan, UzAvtosanoat owns 75% and General Motors owns 25%.Daimler holds a 12% stake in BAIC Group, while BAIC Group holds 5% stake in Daimler.",Light Vehicles,Car
PROJ0x21eb,,"December,1999",?,Private_sector,,?,24324.0,35.4004269669787,38927.41340841338,7967.935468628143,"Isuzu owns 10% of Industries Mécaniques Maghrébines.MAN SE holds a 17.Dongfeng Motor has a 50-50% joint venture with Renault named Dongfeng Renault in Wuhan, which was founded in the end of 2013FAW Group and General Motors has a 50-50 joint venture called FAW-GM.",Heavy Vehicles,JCP
PROJ0x1ede,,,?,Public_sector,French Polynesia,?,53157.0,?,-7802.911387393505,67.65," Media related to Automotive industry at Wikimedia CommonsAlliance of Automobile Manufacturers Archived 12 September 2020 at the Wayback MachineA super heavy-lift launch vehicle (SHLLV) is a launch vehicle capable of lifting more than 50 tonnes (110,000 lb) (by NASA classification) or 100 tonnes (220,000 lb) (by Soviet/Russian classification) of payload into low Earth orbit (LEO).Saturn V, with an Apollo program payload of a command module, service module, and Lunar Module.",Light Vehicles,Truck
PROJ0x2e68,,"January,1950",small-cap,?,,?,,-999.0,,,"8 million units. The Detroit branch of Boston Consulting Group predicted that, by 2014, one-third of world demand would be in the four BRIC markets (Brazil, Russia, India and China). Safety for the automobiles themselves, implies that there is no risk of damage.",Heavy Vehicles,JCP
PROJ0x8528,IMXI,"July,2007",large-cap,,Liberia,Marguerita Ramsey,12000.0,14.455639983495937,,370.75,"01% voting stake in Scania. Ares V for the Constellation program was intended to reuse many elements of the Space Shuttle program, both on the ground and flight hardware, to save costs.",Light Vehicles,Truck
PROJ0x2cdb,,"June,1983",?,?,,?,,?,92.68977571515195,-5470.026606482604," As of 2007, almost 94% of the data stored worldwide was held digitally: 52% on hard disks, 28% on optical devices ,and 11% on digital magnetic tape. IT specialists assume responsibility for selecting hardware and software products appropriate for an organization, integrating those products with organizational needs and infrastructure, and installing, customizing, and maintaining those applications for the organization’s computer users.",Light Vehicles,AI
PROJ0x554,,"June,2008",large-cap,,Canada,William Duff,,?,1687.1341191066813,534.85,"com/It is common for automobile manufacturers to hold stakes in other automobile manufacturers. China joint venture Beijing Automotive Group has a joint venture with Daimler called Beijing Benz, both companies hold a 50-50% stake.General Motors holds a 20% stake in Industries Mécaniques Maghrébines.",Light Vehicles,Car
PROJ0x53b5,,,?,?,,Eleanore Hockaday,17594.0,?,7843.8629726154,10265.950351661384,General Motors holds a 93% stake in GM India and SAIC Group holds a 7% stake.Daimler holds an 85% stake in Master Motors.,Light Vehicles,Car
PROJ0x60cb,,"September,1980",small-cap,?,,?,32553.0,17.353305149601532,,466.75,"Chery and Israel Corporation has a joint venture called Qoros, both companies hold a 50-50% stake.Fiat Industrial owns a 46% stake in Zastava Trucks.05% stake in Mazda, while Mazda holds 0.",Light Vehicles,Truck
PROJ0x4e44,ZRU,,large-cap,Public_sector,,?,,12.94681020837016,,," Safety for the automobiles themselves, implies that there is no risk of damage.Based on the recommendations of the Stafford Synthesis report, First Lunar Outpost (FLO) would have relied on a massive Saturn-derived launch vehicle known as the Comet HLLV.",Heavy Vehicles,Truck
